,Time,Time_raw,SR,WT,SL,DL,interporated GSI_Female,interporated GSI_Male
233,233.0,2016-05-21,28.510000000000000,22.40416666666670,12.8,14.133333333333300,9.596226108431540,1.0245187686395300
234,234.0,2016-05-22,28.280000000000000,23.7625,13.2,14.166666666666700,9.83750958822543,1.033612646546240
235,235.0,2016-05-23,28.210000000000000,24.30833333333330,11.7,14.183333333333300,10.052668391400000,1.0409667207558700
236,236.0,2016-05-24,25.450000000000000,23.929166666666700,9.6,14.216666666666700,10.230970351523400,1.0461575991792200
237,237.0,2016-05-25,9.76,22.458333333333300,0.0,14.216666666666700,10.36168330216370,1.0487618897271000
238,238.0,2016-05-26,12.100000000000000,24.366666666666700,1.7,14.25,10.436465829968300,1.0484573396592000
239,239.0,2016-05-27,20.950000000000000,23.187500000000000,2.1,14.266666666666700,10.45653953390210,1.0453262536308400
240,240.0,2016-05-28,8.62,22.06666666666670,0.0,14.283333333333300,10.425516766009100,1.039552075646220
241,241.0,2016-05-29,18.580000000000000,22.354166666666700,6.7,14.3,10.347009878333400,1.031318249709550
242,242.0,2016-05-30,7.9800000000000000,19.34583333333330,0.0,14.333333333333300,10.224631222919300,1.0208082198250200
243,243.0,2016-05-31,25.860000000000000,24.537500000000000,10.2,14.333333333333300,10.061993151810800,1.0082054299968500
244,244.0,2016-06-01,24.930000000000000,20.12083333333330,10.2,14.35,9.862708017052080,0.9936933242292410
245,245.0,2016-06-02,31.110000000000000,18.96666666666670,13.7,14.383333333333300,9.630388170687260,0.9774553465263970
246,246.0,2016-06-03,29.120000000000000,20.72916666666670,12.2,14.383333333333300,9.368645964760480,0.9596749408925230
247,247.0,2016-06-04,14.050000000000000,21.59583333333330,4.0,14.4,9.08109375131586,0.9405355513318270
248,248.0,2016-06-05,15.230000000000000,20.65,1.8,14.4,8.771343882397540,0.9202206218485130
249,249.0,2016-06-06,22.590000000000000,23.04583333333330,10.7,14.433333333333300,8.44300871004964,0.8989135964467850
250,250.0,2016-06-07,8.950000000000000,21.050000000000000,0.0,14.433333333333300,8.099700586316300,0.8767979191308500
251,251.0,2016-06-08,25.72,24.170833333333300,11.3,14.45,7.745031863241640,0.8540570339049130
252,252.0,2016-06-09,9.51,22.979166666666700,1.1,14.45,7.3826148928698100,0.830874384773179
253,253.0,2016-06-10,29.440000000000000,25.241666666666700,11.6,14.466666666666700,7.016359372809590,0.8074595221960150
254,254.0,2016-06-11,23.340000000000000,24.816666666666700,9.9,14.466666666666700,6.651364382928470,0.7841264224584370
255,255.0,2016-06-12,9.570000000000000,23.858333333333300,0.1,14.483333333333300,6.293026348658590,0.761215168301622
256,256.0,2016-06-13,7.570000000000000,21.766666666666700,0.0,14.483333333333300,5.946741695432100,0.7390658424667470
257,257.0,2016-06-14,20.63,24.6875,7.9,14.483333333333300,5.617906848681130,0.718018527694989
258,258.0,2016-06-15,18.080000000000000,24.937500000000000,7.5,14.5,5.311918233837850,0.6984133067275260
259,259.0,2016-06-16,5.520000000000000,21.737500000000000,0.0,14.5,5.034172276334390,0.6805902623055340
260,260.0,2016-06-17,19.19,22.987500000000000,3.1,14.5,4.790065401602900,0.664889477170192
261,261.0,2016-06-18,29.640000000000000,25.787500000000000,12.9,14.516666666666700,4.584994035075520,0.6516510340626760
262,262.0,2016-06-19,7.25,23.195833333333300,0.1,14.516666666666700,4.424354602184400,0.6412150157241630
263,263.0,2016-06-20,19.72,24.820833333333300,5.5,14.5,4.313543528361690,0.6339215048958310
264,264.0,2016-06-21,18.52,25.09166666666670,5.6,14.5,4.257957239039530,0.6301105843188580
265,265.0,2016-06-22,10.020000000000000,24.916666666666700,0.2,14.516666666666700,4.2629921596500700,0.6301223367344190
266,266.0,2016-06-23,21.360000000000000,24.65,5.2,14.516666666666700,4.334044715625450,0.6342968448836920
267,267.0,2016-06-24,8.120000000000000,22.616666666666700,0.1,14.5,4.476511332397820,0.6429741915078560
268,268.0,2016-06-25,5.14,23.183333333333300,0.3,14.5,4.693083485517080,0.6563232101265850
269,269.0,2016-06-26,22.66,22.7375,9.3,14.5,4.975632851004100,0.6738277373735560
270,270.0,2016-06-27,23.640000000000000,24.470833333333300,8.5,14.5,5.313326154997530,0.6948003606609430
271,271.0,2016-06-28,8.300000000000000,20.729166666666700,0.0,14.483333333333300,5.695330123636000,0.7185536674009190
