Gene ID,Symbol,Alpha,Phi,RS,Description
101173267,LOC101173267,2.764785508,35.07597072,0.554510551,"alpha-tectorin-like (LOC101173267), mRNA"
101170919,ptgis,1.220833458,35.84007244,0.484620133,"prostaglandin I2 synthase (ptgis), mRNA"
100125473,star,5.630174059,36.04348207,0.323247242,"steroidogenic acute regulatory protein (star), mRNA"
101175594,LOC101175594,1.264465524,36.5508958,0.377591806,"NLR family CARD domain-containing protein 3 (LOC101175594), transcript variant X2, mRNA;NLR family CARD domain-containing protein 3 (LOC101175594), transcript variant X1, mRNA"
110015002,LOC110015002,1.043301007,37.26372136,0.570517957,"SH3 domain-containing protein C23A1.17-like (LOC110015002), mRNA"
111947515,LOC111947515,2.012245429,37.70608908,0.460079272,"zinc finger protein 213-like (LOC111947515), mRNA"
101175565,LOC101175565,0.675005025,37.7843317,0.382449339,"dysbindin (LOC101175565), mRNA"
101168558,morn3,1.303436654,37.86473205,0.318804101,"MORN repeat containing 3 (morn3), mRNA"
101169554,sim2,0.881374739,37.92004125,0.395626915,"single-minded family bHLH transcription factor 2 (sim2), mRNA"
110017435,fam237a,5.264496559,37.9633773,0.304442061,"family with sequence similarity 237 member A (fam237a), mRNA"
101175284,LOC101175284,0.978717746,38.70573611,0.319737007,"GAS2-like protein 3 (LOC101175284), transcript variant X2, mRNA;GAS2-like protein 3 (LOC101175284), transcript variant X1, mRNA"
101159879,LOC101159879,1.497892333,40.05746239,0.305799586,"guanylin (LOC101159879), mRNA"
101156696,plxnc1,0.727769778,40.3013951,0.306558585,"plexin C1 (plxnc1), transcript variant X2, mRNA;plexin C1 (plxnc1), transcript variant X1, mRNA"
101162248,LOC101162248,0.601301909,40.53402668,0.301132528,"transmembrane protein 88 (LOC101162248), mRNA"
111947322,LOC111947322,2.748141779,41.28023237,0.327051622,"fibronectin type III domain-containing protein 7-like (LOC111947322), mRNA"
101156590,igf2bp3,1.346331977,41.39331769,0.451959001,"insulin like growth factor 2 mRNA binding protein 3 (igf2bp3), transcript variant X1, mRNA;insulin like growth factor 2 mRNA binding protein 3 (igf2bp3), transcript variant X4, mRNA;insulin like growth factor 2 mRNA binding protein 3 (igf2bp3), transcript variant X3, mRNA;insulin like growth factor 2 mRNA binding protein 3 (igf2bp3), transcript variant X2, mRNA"
111948940,LOC111948940,8.758440202,41.88217065,0.74687581,"dynein beta chain, ciliary-like (LOC111948940), mRNA"
111947677,LOC111947677,7.423107641,41.92200471,0.329811878,"uncharacterized LOC111947677 (LOC111947677), mRNA"
101166986,LOC101166986,1.501257915,41.95489573,0.464887804,"uncharacterized LOC101166986 (LOC101166986), transcript variant X4, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X2, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X8, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X5, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X1, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X3, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X6, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X9, mRNA;uncharacterized LOC101166986 (LOC101166986), transcript variant X7, mRNA"
101162167,LOC101162167,0.643669298,42.3373474,0.304109389,"uncharacterized LOC101162167 (LOC101162167), mRNA"
BGI_novel_G000662,NA,7.79980025,42.40247644,0.316673888,NA
101175564,sntb2,0.600700488,43.21173437,0.39162351,"syntrophin beta 2 (sntb2), mRNA"
BGI_novel_G000698,NA,2.436671171,43.94864395,0.382843989,NA
101156515,fosb,0.961496278,44.49766017,0.338578766,"FosB proto-oncogene, AP-1 transcription factor subunit (fosb), transcript variant X4, mRNA;FosB proto-oncogene, AP-1 transcription factor subunit (fosb), transcript variant X1, mRNA;FosB proto-oncogene, AP-1 transcription factor subunit (fosb), transcript variant X2, mRNA;FosB proto-oncogene, AP-1 transcription factor subunit (fosb), transcript variant X3, mRNA"
100049397,LOC100049397,0.937691969,44.58314359,0.366904055,"metallothionein (LOC100049397), mRNA;metallothionein (LOC100049397), transcript variant X1, mRNA"
101168687,LOC101168687,0.870923046,44.73046556,0.339422797,"apoptosis regulator BAX (LOC101168687), mRNA"
BGI_novel_G000602,NA,1.699291227,45.25731971,0.412737467,NA
101158266,LOC101158266,2.792858841,45.59540322,0.34945479,"calcium-activated potassium channel subunit beta-2 (LOC101158266), mRNA"
101174210,LOC101174210,4.097818153,46.26780903,0.342603155,"tyrosine kinase receptor Cad96Ca (LOC101174210), transcript variant X2, mRNA;tyrosine kinase receptor Cad96Ca (LOC101174210), transcript variant X1, mRNA"
101166816,LOC101166816,1.23589703,47.66290043,0.449268587,"protein FAM57A (LOC101166816), transcript variant X2, mRNA;protein FAM57A (LOC101166816), transcript variant X1, mRNA"
100192342,valop,1.196871142,47.77021726,0.305094791,"vertebrate ancient long opsin (valop), mRNA"
101155804,LOC101155804,0.718168797,47.91933747,0.350510419,"monocarboxylate transporter 7 (LOC101155804), transcript variant X2, mRNA;monocarboxylate transporter 7 (LOC101155804), transcript variant X1, mRNA"
101156799,LOC101156799,1.487220748,47.96430188,0.408317413,"germ cell-specific gene 1-like protein (LOC101156799), mRNA"
105357913,LOC105357913,6.370164352,47.96558305,0.375523717,"uncharacterized LOC105357913 (LOC105357913), mRNA"
101167468,psph,0.810927961,48.300748,0.427738803,"phosphoserine phosphatase (psph), mRNA"
101170288,ttc36,0.785303045,48.57929742,0.404151363,"tetratricopeptide repeat domain 36 (ttc36), mRNA"
101157574,LOC101157574,1.090682542,48.84530658,0.343995496,"NLR family CARD domain-containing protein 3 (LOC101157574), mRNA"
105356328,LOC105356328,4.452223967,49.01478797,0.312538339,"uncharacterized LOC105356328 (LOC105356328), mRNA"
111947331,LOC111947331,6.226278729,49.06524241,0.330752184,"uncharacterized LOC111947331 (LOC111947331), mRNA"
101165804,alx3,0.959640932,49.0774527,0.414279809,"ALX homeobox 3 (alx3), mRNA"
105355155,LOC105355155,1.536286321,49.73128062,0.511372736,"T-cell differentiation antigen CD6 (LOC105355155), transcript variant X5, mRNA;T-cell differentiation antigen CD6 (LOC105355155), transcript variant X3, mRNA;T-cell differentiation antigen CD6 (LOC105355155), transcript variant X2, mRNA;T-cell differentiation antigen CD6 (LOC105355155), transcript variant X4, mRNA;T-cell differentiation antigen CD6 (LOC105355155), transcript variant X1, mRNA;T-cell differentiation antigen CD6 (LOC105355155), transcript variant X6, mRNA"
101174164,LOC101174164,2.000829887,49.8072234,0.574133446,"transmembrane protein 136-like (LOC101174164), transcript variant X2, mRNA;transmembrane protein 136-like (LOC101174164), transcript variant X1, mRNA"
101165098,LOC101165098,0.715616413,50.00182955,0.512256367,"Krueppel-like factor 9 (LOC101165098), mRNA"
100301609,foxd4,1.275283765,50.1965032,0.480606588,"forkhead box D4 (foxd4), mRNA"
101167749,neto1,0.62902423,50.28955269,0.347628673,"neuropilin and tolloid like 1 (neto1), transcript variant X3, mRNA;neuropilin and tolloid like 1 (neto1), transcript variant X1, mRNA;neuropilin and tolloid like 1 (neto1), transcript variant X2, mRNA;neuropilin and tolloid like 1 (neto1), transcript variant X5, mRNA;neuropilin and tolloid like 1 (neto1), transcript variant X4, mRNA"
101158139,LOC101158139,2.325649597,50.61172191,0.573963772,"outer dense fiber protein 2 (LOC101158139), transcript variant X2, mRNA;outer dense fiber protein 2 (LOC101158139), transcript variant X1, mRNA"
101175272,vkorc1,1.130541415,50.63807291,0.347400414,"vitamin K epoxide reductase complex subunit 1 (vkorc1), mRNA"
100125517,LOC100125517,0.646063557,50.71536125,0.344504332,"UDP-glucuronosyltransferase (LOC100125517), mRNA"
101165607,plekhh1,1.38008011,51.03081057,0.4034416,"pleckstrin homology, MyTH4 and FERM domain containing H1 (plekhh1), transcript variant X1, mRNA;pleckstrin homology, MyTH4 and FERM domain containing H1 (plekhh1), transcript variant X2, mRNA;pleckstrin homology, MyTH4 and FERM domain containing H1 (plekhh1), transcript variant X3, mRNA"
101172025,dhx30,0.736852959,51.21073128,0.420085868,"DExH-box helicase 30 (dhx30), transcript variant X2, mRNA;DExH-box helicase 30 (dhx30), transcript variant X1, mRNA"
105355998,LOC105355998,0.620099499,51.32314144,0.406309806,"protein FAM110C-like (LOC105355998), mRNA"
101160051,slc6a8,0.646700669,51.63809323,0.334263243,"solute carrier family 6 member 8 (slc6a8), mRNA"
101173339,LOC101173339,0.960099175,51.89693643,0.351427906,"inward rectifier potassium channel 2 (LOC101173339), mRNA"
101157573,rbp4,0.606585681,52.09311311,0.307775802,"retinol binding protein 4 (rbp4), mRNA"
105354421,lrrc23,1.429967534,52.62438664,0.326633465,"leucine rich repeat containing 23 (lrrc23), transcript variant X2, mRNA;leucine rich repeat containing 23 (lrrc23), transcript variant X1, mRNA"
101161596,LOC101161596,0.909261225,52.71806457,0.55633661,"uncharacterized LOC101161596 (LOC101161596), mRNA"
101160182,LOC101160182,3.041787563,53.19674491,0.521240761,"claudin-4-like (LOC101160182), mRNA"
101169965,LOC101169965,1.708653424,53.2738565,0.316452535,"sodium channel subunit beta-4 (LOC101169965), mRNA"
101162693,galnt12,0.84640231,53.71387334,0.341438883,"polypeptide N-acetylgalactosaminyltransferase 12 (galnt12), transcript variant X1, mRNA;polypeptide N-acetylgalactosaminyltransferase 12 (galnt12), transcript variant X2, mRNA"
101154901,alx1,4.711713764,54.16840525,0.346945239,"ALX homeobox 1 (alx1), mRNA"
BGI_novel_G000600,NA,6.211350306,54.34550559,0.347847053,NA
101169630,LOC101169630,0.795095266,55.37832456,0.418606252,"spartin (LOC101169630), transcript variant X3, mRNA;spartin (LOC101169630), transcript variant X1, mRNA;spartin (LOC101169630), transcript variant X2, mRNA"
100335143,sumo2,2.102424153,57.35902727,0.388431084,"small ubiquitin-like modifier 2 (sumo2), mRNA"
101163702,pah,0.648759501,58.01048112,0.310852958,"phenylalanine hydroxylase (pah), mRNA"
101164992,slc25a35,0.661524387,58.15444851,0.354799714,"solute carrier family 25 member 35 (slc25a35), mRNA"
101169954,tmem42,0.804158727,58.62563577,0.432503045,"transmembrane protein 42 (tmem42), transcript variant X1, mRNA;transmembrane protein 42 (tmem42), transcript variant X2, mRNA"
101172400,pla2g4a,0.892520708,58.82042745,0.501660297,"phospholipase A2 group IVA (pla2g4a), transcript variant X2, mRNA;phospholipase A2 group IVA (pla2g4a), transcript variant X1, mRNA"
101173266,LOC101173266,0.708558107,59.10501917,0.335784639,"uncharacterized LOC101173266 (LOC101173266), mRNA"
110017489,LOC110017489,0.670323496,59.34284973,0.392284818,"uncharacterized J domain-containing protein C17A3.05c (LOC110017489), mRNA"
101159364,ppt2,1.047730703,59.49370752,0.404439957,"palmitoyl-protein thioesterase 2 (ppt2), mRNA"
101166198,nans,0.601289933,59.81559868,0.425271724,"N-acetylneuraminate synthase (nans), mRNA"
101161834,LOC101161834,1.569962437,59.87425843,0.30743584,"G-protein coupled receptor 55-like (LOC101161834), mRNA"
101157577,colec12,0.798728248,60.18868994,0.311286916,"collectin subfamily member 12 (colec12), mRNA"
101175667,LOC101175667,5.674370818,60.6589465,0.420989136,"putative helicase mov-10-B.2 (LOC101175667), transcript variant X2, mRNA;putative helicase mov-10-B.2 (LOC101175667), transcript variant X1, mRNA"
101170367,egln1,0.594131621,61.03478882,0.439233275,"egl-9 family hypoxia inducible factor 1 (egln1), transcript variant X2, mRNA;egl-9 family hypoxia inducible factor 1 (egln1), transcript variant X1, mRNA"
101165067,c7,0.884802488,61.2673343,0.405031313,"complement C7 (c7), transcript variant X1, mRNA;complement C7 (c7), transcript variant X2, mRNA;complement C7 (c7), transcript variant X3, mRNA"
100820716,ggtl1a,0.994255068,61.47415703,0.304226698,"gamma-glutamyl transferase-like 1a (ggtl1a), mRNA"
101171616,cmbl,0.815083181,62.0715985,0.362665507,"carboxymethylenebutenolidase homolog (cmbl), mRNA"
101170060,trpm2,0.643862825,62.24974047,0.305239694,"transient receptor potential cation channel subfamily M member 2 (trpm2), mRNA"
BGI_novel_G000350,NA,1.239266347,62.40631826,0.33962146,NA
101155127,syk,0.700199704,62.50190151,0.578264844,"spleen associated tyrosine kinase (syk), transcript variant X4, mRNA;spleen associated tyrosine kinase (syk), transcript variant X3, mRNA;spleen associated tyrosine kinase (syk), transcript variant X2, mRNA;spleen associated tyrosine kinase (syk), transcript variant X1, mRNA"
105357953,LOC105357953,1.031782917,62.59891336,0.390552004,"SITS-binding protein (LOC105357953), transcript variant X1, mRNA"
101165763,dsp,0.606372894,62.63502937,0.386922358,"desmoplakin (dsp), transcript variant X2, mRNA;desmoplakin (dsp), transcript variant X1, mRNA;desmoplakin (dsp), transcript variant X3, mRNA"
101165180,LOC101165180,0.822550248,62.78561801,0.465212352,"protein-glutamine gamma-glutamyltransferase K (LOC101165180), mRNA"
101160000,LOC101160000,0.939251701,62.78985099,0.3311314,"calcium-binding mitochondrial carrier protein SCaMC-2-A (LOC101160000), mRNA"
101172870,esam,0.686930355,63.2348329,0.402875794,"endothelial cell adhesion molecule (esam), mRNA"
105356514,bricd5,7.283388011,63.82105308,0.387716619,"BRICHOS domain containing 5 (bricd5), transcript variant X1, mRNA;BRICHOS domain containing 5 (bricd5), transcript variant X2, mRNA"
101159659,thsd4,1.056681442,64.21621762,0.316995203,"thrombospondin type 1 domain containing 4 (thsd4), mRNA"
101172074,LOC101172074,0.831979804,64.24866348,0.456215829,"very long-chain acyl-CoA synthetase (LOC101172074), mRNA"
101158477,LOC101158477,6.860248153,64.41318929,0.4136132,"lens fiber membrane intrinsic protein (LOC101158477), mRNA"
101165161,LOC101165161,0.86343048,65.02849682,0.524112353,"proline dehydrogenase 1, mitochondrial (LOC101165161), mRNA"
101158987,LOC101158987,1.276307856,65.14788191,0.306072425,"troponin T, cardiac muscle isoforms (LOC101158987), transcript variant X2, mRNA;troponin T, cardiac muscle isoforms (LOC101158987), transcript variant X1, mRNA"
101160752,slc1a5,0.878808685,65.16851182,0.514942749,"solute carrier family 1 member 5 (slc1a5), mRNA"
101164297,cth,0.712015416,65.18953844,0.439269943,"cystathionine gamma-lyase (cth), mRNA"
101167342,LOC101167342,1.780612574,65.25472961,0.37653633,"GTPase IMAP family member 7 (LOC101167342), mRNA"
101163475,LOC101163475,0.799643052,65.29563037,0.332562023,"anthrax toxin receptor 1-like (LOC101163475), mRNA"
105354632,LOC105354632,0.581155721,65.47498733,0.35317452,"GTPase IMAP family member 4 (LOC105354632), transcript variant X1, mRNA;GTPase IMAP family member 4 (LOC105354632), transcript variant X2, mRNA"
101168641,LOC101168641,0.9076346,65.78116296,0.404521803,"solute carrier family 22 member 6 (LOC101168641), transcript variant X2, mRNA;solute carrier family 22 member 6 (LOC101168641), transcript variant X1, mRNA"
101156965,LOC101156965,1.245075482,65.884182,0.390636433,"cytochrome P450 2J6 (LOC101156965), mRNA"
105353609,LOC105353609,1.614021475,66.55688587,0.313051378,"proteinase-activated receptor 4 (LOC105353609), mRNA"
101174644,LOC101174644,1.536453537,67.02694436,0.322885926,"uncharacterized LOC101174644 (LOC101174644), transcript variant X1, mRNA;uncharacterized LOC101174644 (LOC101174644), transcript variant X2, mRNA"
101168135,LOC101168135,0.64828834,67.06730322,0.322057653,"cholesterol 25-hydroxylase-like protein 2 (LOC101168135), mRNA"
101174331,LOC101174331,0.762791601,67.38162157,0.582530286,"phosphorylase b kinase regulatory subunit alpha, liver isoform (LOC101174331), transcript variant X2, mRNA;phosphorylase b kinase regulatory subunit alpha, liver isoform (LOC101174331), transcript variant X1, mRNA;phosphorylase b kinase regulatory subunit alpha, liver isoform (LOC101174331), transcript variant X4, mRNA;phosphorylase b kinase regulatory subunit alpha, liver isoform (LOC101174331), transcript variant X3, mRNA;phosphorylase b kinase regulatory subunit alpha, liver isoform (LOC101174331), transcript variant X6, mRNA;phosphorylase b kinase regulatory subunit alpha, liver isoform (LOC101174331), transcript variant X5, mRNA"
101157439,snx7,1.013412985,68.9725604,0.407563599,"sorting nexin 7 (snx7), mRNA"
101155612,pdk4,0.640648977,68.98510409,0.444388917,"pyruvate dehydrogenase kinase 4 (pdk4), mRNA"
101165110,LOC101165110,0.723399841,69.08811467,0.322904278,"cytochrome c iso-1/iso-2 (LOC101165110), transcript variant X2, mRNA;cytochrome c iso-1/iso-2 (LOC101165110), transcript variant X1, mRNA"
